Comment,Designator,Footprint,LCSC,Quantity
XL-3528RGBC-WS2812B,"U10,U11,U12,U13,U14,U2,U3,U4,U5,U6,U7,U8,U9",LED-SMD_4P-L3.5-W2.8-BR-1,C5440693,13
SW_SPDT_312,SW11,SW-SMD_K3-1280S-K1,C92658,1
